,行业,组合权重,基准权重,组合收益,基准收益
0,军工行业,0.6992,0.6,0.25283403748891803,0.1638534085627379
1,其他行业,0.23600000000000004,0.0,0.2266983720381532,0.043040398639983435
2,货币基金,0.06479999999999997,0.4,0.012495080676898862,0.012495080676898862
